Average Energy Usage by Community Area (RDD):
COMMUNITY AREA NAME,avg_kwh,avg_therms
Woodlawn,267129.63,14044.70
West Town,92171.41,10896.35
West Ridge,107469.31,16523.31
West Pullman,63137.03,10005.01
West Lawn,192239.22,19023.27
West Garfield Park,73272.24,12605.61
West Englewood,59676.10,10005.77
West Elsdon,142617.19,13860.69
Washington Park,77592.91,14706.78
Washington Heights,93297.08,15843.87
Uptown,175045.63,22143.24
South Shore,79791.04,19093.42
South Lawndale,117930.66,14565.19
South Deering,182452.72,16507.27
South Chicago,62897.40,11972.28
Roseland,79779.71,12356.24
Rogers Park,143501.74,18655.73
Riverdale,413913.07,73474.40
Pullman,268875.20,30018.90
Portage Park,105582.57,18281.29
Oakland,68854.23,9888.20
O'Hare,489684.47,35318.85
Norwood Park,117685.31,14898.68
North Park,181675.42,16601.87
North Lawndale,85236.29,12004.31
North Center,100122.47,12177.63
New City,125455.69,13346.04
Near West Side,442460.16,25323.56
Near South Side,3044119.74,71497.94
Near North Side,2047688.44,76167.66
Mount Greenwood,197446.33,21006.44
Morgan Park,122864.91,17396.95
Montclare,88778.48,12344.65
McKinley Park,111876.08,13959.64
Lower West Side,172436.06,15172.77
Loop,11157529.68,276949.62
Logan Square,86515.68,11072.30
Lincoln Square,112155.39,14358.69
Lincoln Park,233916.72,19397.93
Lakeview,177097.50,20232.68
Kenwood,214922.70,39497.84
Jefferson Park,111365.27,13475.73
Irving Park,90948.95,12376.40
Hyde Park,162784.61,32001.16
Humboldt Park,87914.64,13461.93
Hermosa,86137.76,13797.94
Hegewisch,78751.98,10780.93
Greater Grand Crossing,61166.00,11564.87
Grand Boulevard,74698.91,11299.89
Garfield Ridge,130360.06,14604.37
Gage Park,84661.72,13078.94
Fuller Park,66557.28,7804.97
Forest Glen,294673.64,17716.44
Englewood,54146.94,9824.47
Edison Park,116532.04,16536.73
Edgewater,159363.91,21961.51
East Side,73417.08,12309.47
East Garfield Park,64866.35,11908.39
Dunning,117013.43,15229.91
Douglas,177443.14,31967.45
Clearing,142952.92,15737.94
Chicago Lawn,79142.10,12703.93
Chatham,97087.36,16504.99
Calumet Heights,92314.73,14495.28
Burnside,92676.07,14363.91
Brighton Park,98619.65,14448.32
Bridgeport,85388.26,12389.22
Beverly,147837.10,20160.03
Belmont Cragin,114406.04,14196.96
Avondale,126861.27,13099.30
Avalon Park,92221.58,16122.25
Austin,105406.58,16099.46
Auburn Gresham,80366.21,15741.93
Ashburn,151901.82,18026.43
Armour Square,201843.32,17501.68
Archer Heights,243066.63,16852.91
Albany Park,87517.99,13997.82

Energy Usage by Building Age (Binned) (RDD):
age_bin,avg_kwh,avg_therms
0,260386.94,16358.76
10,588527.66,29491.69
20,715046.22,44218.67
30,589189.99,31957.64
40,226023.71,19650.05
50,199831.41,18372.45
60,170440.85,18216.17
70,149181.92,18370.16
80,89283.49,15574.29
90,109847.40,14071.46
100,74978.35,11641.62
110,60530.92,9018.72
120,46544.20,7554.99
130,53338.10,4931.82
140,24017.66,4112.17
150,14924.67,2260.67

Total Energy Usage by Building Type (RDD):
BUILDING TYPE,total_population,total_kwh,total_therms
Commercial,1562729.00,6636627260.00,369736675.00
Industrial,1861.00,7301915.00,272905.00
Residential,3871525.00,4130068514.00,692601486.00
