COMMUNITY AREA NAME,avg_kwh,avg_therms
Loop,1.115752968115942E7,276949.615942029
Near South Side,3044119.7410714286,71497.9375
Near North Side,2047688.438655462,76167.66050420167
O'Hare,485175.57009345794,35590.80373831776
Near West Side,442460.16371681413,25323.559734513274
Riverdale,413913.0714285714,73474.40476190476
Forest Glen,294673.6414728682,17716.43992248062
Pullman,268875.2021857923,30018.90163934426
Woodlawn,267129.628113879,14044.699288256228
Archer Heights,243066.628342246,16852.914438502674
Lincoln Park,233916.72295882762,19397.929518492674
Kenwood,214922.69696969696,39497.8354978355
Armour Square,201843.32462686568,17501.682835820895
Mount Greenwood,197446.33241758242,21006.44230769231
West Lawn,192239.2174556213,19023.27218934911
South Deering,182452.71989528797,16507.274869109948
North Park,181675.42139737992,16601.873362445414
Douglas,177443.14450867052,31967.450867052023
Lakeview,177097.49777117386,20232.676077265973
Uptown,175045.63012048192,22143.239759036143
Lower West Side,172436.05626326965,15172.768577494691
Hyde Park,162784.60613810743,32001.161125319693
Edgewater,159363.91360476663,21961.5134061569
Ashburn,151901.8201183432,18026.42603550296
Beverly,147837.1001788909,20160.033989266547
Rogers Park,143501.74427480917,18655.72900763359
Clearing,143242.98974358974,15745.588034188035
West Elsdon,142617.18733509234,13860.688654353562
Garfield Ridge,130360.05666666667,14604.37
Avondale,126861.27168234065,13099.30198537095
New City,125455.6888888889,13346.036507936507
Morgan Park,122864.91245791246,17396.95286195286
South Lawndale,117930.66153846154,14565.185384615384
Norwood Park,117753.14245283019,14919.298113207547
Dunning,117013.42804085423,15229.909006499536
Edison Park,116639.09345794392,16510.43613707165
Belmont Cragin,114406.04124293785,14196.964971751413
Lincoln Square,112155.3850671141,14358.694630872484
McKinley Park,111876.08333333333,13959.641891891892
Jefferson Park,111365.26850690087,13475.726474278545
West Ridge,107469.31085420681,16523.30764290302
Portage Park,105530.95081967213,18273.75468384075
Austin,105406.58072387149,16099.456689711265
North Center,100122.47467811158,12177.630901287554
Brighton Park,98619.64680851063,14448.320212765957
Chatham,97087.35870698644,16504.985401459853
Washington Heights,93297.08036890645,15843.869565217392
Burnside,92676.07142857143,14363.910714285714
Calumet Heights,92314.73347107437,14495.276859504133
Avalon Park,92221.5762195122,16122.246951219513
West Town,92171.41089996415,10896.349946217282
Irving Park,90948.95400870105,12376.396519577378
Montclare,88778.47521865889,12344.65306122449
Humboldt Park,87914.64285714286,13461.92718446602
Albany Park,87517.99295154185,13997.817621145374
Logan Square,86515.6840034965,11072.298513986014
Hermosa,86137.76181818183,13797.936363636363
Bridgeport,85388.26264800862,12389.21743810549
North Lawndale,85236.28747433265,12004.308008213553
Gage Park,84661.71517412935,13078.940298507463
Auburn Gresham,80366.21397694525,15741.928674351586
South Shore,79791.03862660944,19093.423175965665
Roseland,79779.71019553073,12356.240223463687
Chicago Lawn,79142.10279667423,12703.928193499622
Hegewisch,78751.97826086957,10780.931677018634
Washington Park,77592.90717299578,14706.776371308017
Grand Boulevard,74698.90953947368,11299.893092105263
East Side,73417.07849829351,12309.467576791809
West Garfield Park,73272.24212598425,12605.606299212599
Oakland,68854.22857142857,9888.2
Fuller Park,66557.27826086957,7804.973913043478
East Garfield Park,64866.35067114094,11908.394295302014
West Pullman,63137.02720450282,10005.009380863039
South Chicago,62897.4026776519,11972.276004119465
Greater Grand Crossing,61165.996268656716,11564.869402985074
West Englewood,59676.1,10005.767826086956
Englewood,54146.94003868472,9824.472920696326
